2571,1837,1,7,25,25,0,0
3071,2037,1,7,25,25,0,0
3571,2237,1,8,25,25,0,0
4071,2437,1,9,25,26,0,0
4571,2636,1,10,25,27,0,0
5071,2836,1,11,26,27,0,0
5571,3035,1,11,26,28,0,0
6071,3235,1,12,27,29,0,0
6571,3435,1,13,28,30,0,0
7071,2755,2,13,29,31,0,0
7571,2327,2,27,29,32,0,0
8071,2473,2,28,29,32,0,0
8571,2619,2,30,29,33,0,0
9071,2765,2,32,30,34,0,0
9571,2911,2,34,30,35,0,0
10071,3057,2,35,31,36,0,0
10571,3203,2,37,32,37,0,0
11071,3347,2,39,32,38,0,0
11571,3486,2,40,33,39,0,0
12071,2200,3,34,34,40,0,0
12571,2331,3,36,34,40,0,0
13071,2463,3,38,34,41,0,0
13571,2595,3,40,35,41,0,0
14071,2728,3,42,35,42,0,0
14571,2860,3,44,35,43,0,0
15071,2992,3,46,36,44,0,0
15571,3124,3,48,37,44,0,0
16071,3256,3,50,37,45,0,0
16571,3388,3,52,38,47,0,0
17071,3520,4,54,39,48,0,0
17571,2226,4,43,39,48,0,0
18071,2358,4,46,39,49,0,0
18571,2490,4,48,40,49,0,0
19071,2622,4,51,40,50,0,0
19571,2754,4,53,40,51,0,0
20071,2886,4,56,41,51,0,0
20571,3018,4,58,41,52,0,0
21071,3150,4,61,42,53,0,0
21571,3282,4,64,43,54,0,0
22071,3414,4,66,44,55,0,0
22571,3189,5,68,44,56,0,0
23071,2252,5,61,45,57,0,0
23571,2384,5,65,45,57,0,0
24071,2516,5,68,45,58,0,0
24571,2648,5,72,45,59,0,0
25071,2780,5,76,46,59,0,0
25571,2912,5,79,46,60,0,0
26071,3044,5,83,47,61,0,0
26571,3176,5,86,47,62,0,0
27071,3308,5,90,48,63,0,0
27571,3440,5,94,49,64,0,0
28071,2942,6,95,50,65,0,0
28571,2279,6,71,50,65,0,0
29071,2411,6,75,50,66,0,0
29571,2543,6,79,50,66,0,0
30071,2675,6,83,50,67,0,0
30571,2807,6,87,51,68,0,0
31071,2939,6,91,51,68,0,0
31571,3071,6,95,52,69,0,0
32071,3203,6,100,52,70,0,0
32571,3335,6,104,53,71,0,0
33071,3467,6,108,54,72,0,0
33571,3599,6,112,55,73,0,0
34071,3731,6,116,56,75,0,0
34571,3863,6,120,57,76,0,0
35071,3995,6,124,58,77,0,0
35571,4127,6,128,59,79,0,0
36071,4259,6,133,60,80,0,0
36571,4391,6,137,61,82,0,0
37071,4523,6,141,63,83,0,0
37571,4655,6,145,64,85,0,0
38071,4787,6,149,66,87,0,0
38571,4919,6,153,67,89,0,0
39071,5051,6,157,69,91,0,0
39571,5183,6,161,71,93,0,0
40071,5315,6,166,73,95,0,0
40571,5447,6,170,74,97,0,0
41071,5579,6,174,76,99,0,0
41571,5710,6,178,78,102,0,0
42071,5842,6,182,81,104,0,0
42571,5974,6,186,83,107,0,0
43071,6106,6,190,85,109,0,0
43571,6238,6,194,87,112,0,0
44071,6370,6,199,90,114,0,0
44571,6502,6,203,92,117,0,0
45071,6634,6,207,95,120,0,0
45571,6766,6,211,97,123,0,0
46071,6898,6,215,100,126,0,0
46571,7000,6,218,103,129,0,0
47071,7000,6,218,106,132,0,0
47571,7000,6,218,108,135,0,0
48071,7000,6,218,111,138,0,0
48571,7000,6,218,114,141,0,0
49071,7000,6,218,117,144,0,1
49571,7000,6,218,120,145,0,1
50071,7000,6,218,120,145,0,1
50571,7000,6,218,120,145,0,1
